iter	Passed	Remaining
201	3482	13758
202	3499	13740
203	3516	13719
204	3532	13699
205	3549	13679
206	3566	13663
207	3583	13643
208	3599	13621
209	3615	13600
210	3631	13579
211	3648	13560
212	3664	13541
213	3682	13526
214	3700	13510
215	3716	13491
216	3733	13473
217	3750	13454
218	3768	13438
219	3785	13419
220	3801	13399
221	3820	13388
222	3837	13372
223	3854	13353
224	3872	13339
225	3889	13319
226	3905	13297
227	3922	13281
228	3938	13261
229	3955	13241
230	3972	13225
231	3990	13209
232	4007	13192
233	4024	13172
234	4039	13148
235	4054	13126
236	4072	13110
237	4089	13092
238	4105	13071
239	4121	13050
240	4138	13032
241	4154	13012
242	4171	12994
243	4187	12975
244	4203	12955
245	4220	12935
246	4236	12915
247	4252	12895
248	4269	12876
249	4285	12855
250	4306	12850
251	4322	12829
252	4338	12809
253	4354	12789
254	4370	12769
255	4386	12748
256	4402	12728
257	4418	12707
258	4435	12689
259	4451	12670
260	4468	12652
261	4484	12633
262	4501	12614
263	4517	12595
264	4533	12575
265	4550	12557
266	4566	12537
267	4583	12519
268	4600	12502
269	4618	12486
270	4634	12467
271	4651	12449
272	4667	12428
273	4684	12412
274	4700	12391
275	4717	12374
276	4733	12354
277	4750	12337
278	4766	12317
279	4782	12298
280	4798	12277
281	4814	12258
282	4831	12240
283	4847	12221
284	4864	12203
285	4880	12183
286	4895	12163
287	4912	12145
288	4930	12129
289	4946	12109
290	4962	12090
291	4978	12071
292	4995	12052
293	5027	12072
294	5045	12056
295	5063	12041
296	5080	12024
297	5099	12011
298	5115	11994
299	5133	11977
300	5150	11961
301	5168	11946
302	5185	11929
303	5202	11911
304	5219	11894
305	5238	11880
306	5253	11859
307	5269	11838
308	5285	11820
309	5303	11805
310	5321	11788
311	5338	11771
312	5354	11753
313	5370	11733
314	5388	11717
315	5404	11698
316	5421	11680
317	5437	11661
318	5453	11642
319	5469	11623
320	5486	11606
321	5504	11589
322	5520	11570
323	5537	11552
324	5552	11533
325	5569	11515
326	5585	11496
327	5615	11505
328	5634	11491
329	5651	11474
330	5667	11455
331	5683	11435
332	5698	11414
333	5715	11396
334	5733	11380
335	5749	11362
336	5765	11341
337	5780	11322
338	5797	11303
339	5814	11286
340	5830	11268
341	5849	11253
342	5865	11235
343	5883	11219
344	5899	11200
345	5915	11181
346	5932	11163
347	5949	11146
348	5966	11128
349	5982	11109
350	5998	11090
351	6013	11070
352	6030	11052
353	6045	11032
354	6064	11017
355	6080	10999
356	6098	10983
357	6117	10970
358	6135	10955
359	6152	10938
360	6171	10924
361	6190	10909
362	6208	10894
363	6225	10877
364	6242	10859
365	6259	10843
366	6278	10829
367	6295	10811
368	6311	10793
369	6329	10776
370	6345	10758
371	6361	10739
372	6378	10721
373	6398	10709
374	6415	10691
375	6431	10672
376	6446	10653
377	6464	10636
378	6482	10620
379	6500	10605
380	6518	10590
381	6536	10575
382	6555	10560
383	6574	10546
384	6592	10531
385	6610	10515
386	6628	10500
387	6647	10484
388	6664	10468
389	6682	10452
390	6700	10436
391	6718	10420
392	6737	10405
393	6754	10389
394	6773	10374
395	6794	10362
396	6812	10348
397	6831	10332
398	6849	10317
399	6868	10302
400	6887	10288
401	6906	10273
402	6925	10259
403	6944	10244
404	6962	10229
405	6981	10214
406	7001	10201
407	7020	10186
408	7038	10170
409	7060	10159
410	7079	10144
411	7098	10130
412	7118	10117
413	7138	10103
414	7158	10090
415	7175	10072
416	7191	10054
417	7208	10036
418	7224	10018
419	7241	9999
420	7257	9981
421	7273	9962
422	7289	9943
423	7307	9926
424	7323	9907
425	7340	9890
426	7356	9871
427	7373	9853
428	7388	9834
429	7406	9817
430	7422	9799
431	7439	9782
432	7456	9763
433	7472	9745
434	7489	9727
435	7506	9709
436	7522	9690
437	7538	9673
438	7554	9654
439	7570	9635
440	7587	9617
441	7604	9600
442	7621	9582
443	7637	9564
444	7653	9545
445	7669	9526
446	7686	9508
447	7702	9491
448	7718	9471
449	7735	9453
450	7751	9435
451	7769	9419
452	7786	9402
453	7804	9385
454	7820	9366
455	7835	9348
456	7851	9329
457	7866	9309
458	7883	9291
459	7901	9275
460	7917	9256
461	7933	9238
462	7948	9219
463	7965	9201
464	7982	9183
465	8000	9167
466	8017	9150
467	8034	9133
468	8050	9114
469	8066	9096
470	8082	9078
471	8100	9061
472	8116	9043
473	8132	9025
474	8148	9006
475	8164	8988
476	8180	8968
477	8197	8951
478	8215	8935
479	8232	8918
480	8248	8900
481	8264	8882
482	8281	8864
483	8298	8846
484	8315	8829
485	8332	8812
486	8348	8794
487	8364	8775
488	8381	8758
489	8397	8739
490	8414	8722
491	8430	8704
492	8447	8687
493	8464	8669
494	8480	8651
495	8496	8633
496	8513	8615
497	8530	8598
498	8546	8580
499	8562	8562
500	8579	8544
501	8596	8527
502	8612	8510
503	8629	8492
504	8645	8474
505	8661	8456
506	8678	8439
507	8694	8420
508	8710	8402
509	8727	8385
510	8743	8367
511	8759	8349
512	8776	8331
513	8792	8313
514	8808	8295
515	8826	8279
516	8842	8261
517	8859	8243
518	8875	8225
519	8892	8208
520	8908	8190
521	8924	8172
522	8941	8154
523	8958	8137
524	8974	8120
525	8991	8102
526	9007	8084
527	9023	8066
528	9039	8048
529	9057	8031
530	9073	8014
531	9089	7996
532	9106	7978
533	9123	7961
534	9139	7943
535	9157	7927
536	9173	7908
537	9189	7891
538	9205	7873
539	9221	7855
540	9238	7837
541	9254	7820
542	9271	7803
543	9287	7785
544	9303	7767
545	9319	7748
546	9337	7732
547	9353	7714
548	9369	7697
549	9393	7685
550	9410	7668
551	9427	7651
552	9444	7633
553	9460	7616
554	9477	7599
555	9494	7581
556	9511	7564
557	9528	7547
558	9545	7530
559	9561	7512
560	9579	7495
561	9595	7478
562	9613	7462
563	9630	7444
564	9648	7428
565	9664	7410
566	9682	7394
567	9698	7376
568	9715	7358
569	9731	7341
570	9749	7324
571	9766	7307
572	9784	7291
573	9800	7273
574	9816	7255
575	9833	7238
576	9849	7220
577	9865	7203
578	9881	7185
579	9899	7168
580	9914	7150
581	9931	7132
582	9946	7114
583	9962	7096
584	9978	7078
585	9995	7061
586	10012	7044
587	10028	7026
588	10045	7009
589	10061	6992
590	10078	6974
591	10096	6958
592	10113	6941
593	10131	6924
594	10147	6907
595	10165	6891
596	10182	6873
597	10199	6856
598	10214	6838
599	10230	6820
600	10246	6802
601	10262	6784
602	10278	6766
603	10296	6750
604	10315	6734
605	10333	6718
606	10350	6701
607	10369	6685
608	10387	6669
609	10405	6652
610	10422	6635
611	10440	6618
612	10457	6601
613	10475	6585
614	10493	6569
615	10511	6552
616	10528	6535
617	10547	6519
618	10563	6502
619	10580	6484
620	10596	6467
621	10613	6450
622	10631	6433
623	10647	6415
624	10663	6397
625	10679	6380
626	10696	6363
627	10712	6345
628	10730	6328
629	10747	6311
630	10763	6294
631	10781	6277
632	10797	6260
633	10813	6242
634	10830	6225
635	10847	6208
636	10863	6190
637	10879	6173
638	10895	6155
639	10911	6137
640	10930	6121
641	10949	6105
642	10967	6089
643	10984	6072
644	11000	6054
645	11017	6037
646	11034	6020
647	11051	6003
648	11068	5986
649	11085	5968
650	11101	5951
651	11119	5935
652	11136	5918
653	11153	5901
654	11170	5883
655	11186	5866
656	11203	5848
657	11220	5831
658	11236	5814
659	11253	5797
660	11270	5780
661	11301	5770
662	11318	5752
663	11335	5736
664	11352	5719
665	11370	5702
666	11387	5685
667	11404	5668
668	11421	5651
669	11438	5633
670	11455	5616
671	11474	5600
672	11490	5583
673	11506	5565
674	11522	5547
675	11539	5530
676	11560	5515
677	11581	5500
678	11600	5483
679	11618	5467
680	11638	5452
681	11658	5435
682	11676	5419
683	11692	5401
684	11710	5385
685	11732	5370
686	11750	5353
687	11768	5337
688	11787	5320
689	11806	5304
690	11825	5287
691	11846	5272
692	11865	5256
693	11887	5241
694	11908	5225
695	11925	5208
696	11941	5191
697	11957	5173
698	11973	5155
699	11992	5139
700	12014	5124
701	12034	5108
702	12055	5093
703	12076	5077
704	12097	5062
705	12117	5046
706	12137	5030
707	12156	5013
708	12177	4997
709	12195	4981
710	12213	4964
711	12232	4947
712	12251	4931
713	12284	4920
714	12301	4903
715	12320	4887
716	12339	4870
717	12360	4854
718	12376	4837
719	12394	4819
720	12411	4802
721	12433	4787
722	12451	4770
723	12468	4753
724	12485	4735
725	12503	4718
726	12521	4701
727	12540	4685
728	12558	4668
729	12574	4651
730	12590	4633
731	12606	4615
732	12623	4598
733	12639	4580
734	12657	4563
735	12674	4546
736	12691	4528
737	12707	4511
738	12723	4493
739	12741	4476
740	12757	4458
741	12773	4441
742	12790	4424
743	12806	4406
744	12823	4389
745	12840	4371
746	12858	4354
747	12877	4338
748	12899	4322
749	12922	4307
750	12943	4291
751	12962	4275
752	12980	4257
753	12998	4241
754	13018	4224
755	13038	4208
756	13056	4191
757	13075	4174
758	13095	4158
759	13112	4140
760	13129	4123
761	13146	4106
762	13164	4089
763	13183	4072
764	13201	4055
765	13218	4038
766	13236	4020
767	13252	4003
768	13269	3986
769	13285	3968
770	13302	3951
771	13319	3933
772	13337	3916
773	13353	3899
774	13370	3881
775	13386	3864
776	13402	3846
777	13420	3829
778	13435	3811
779	13452	3794
780	13469	3776
781	13486	3759
782	13505	3742
783	13524	3726
784	13543	3709
785	13562	3692
786	13583	3676
787	13601	3659
788	13618	3642
789	13636	3624
790	13654	3607
791	13673	3591
792	13691	3573
793	13709	3556
794	13727	3539
795	13749	3523
796	13768	3506
797	13786	3489
798	13805	3472
799	13824	3456
800	13843	3439
801	13862	3422
802	13881	3405
803	13900	3388
804	13919	3371
805	13938	3354
806	13956	3337
807	13974	3320
808	13993	3303
809	14014	3287
810	14032	3270
811	14052	3253
812	14072	3236
813	14091	3220
814	14114	3203
815	14132	3186
816	14151	3169
817	14168	3152
818	14186	3135
819	14204	3117
820	14222	3100
821	14240	3083
822	14257	3066
823	14274	3048
824	14293	3032
825	14311	3014
826	14328	2997
827	14344	2979
828	14361	2962
829	14377	2944
830	14395	2927
831	14412	2910
832	14428	2892
833	14446	2875
834	14463	2857
835	14481	2840
836	14499	2823
837	14517	2806
838	14535	2789
839	14551	2771
840	14569	2754
841	14586	2737
842	14603	2719
843	14620	2702
844	14636	2684
845	14652	2667
846	14668	2649
847	14685	2632
848	14701	2614
849	14718	2597
850	14734	2579
851	14751	2562
852	14767	2544
853	14783	2527
854	14799	2509
855	14816	2492
856	14833	2475
857	14849	2457
858	14865	2440
859	14884	2423
860	14903	2405
861	14922	2388
862	14939	2371
863	14958	2354
864	14976	2337
865	14995	2320
866	15012	2302
867	15031	2285
868	15048	2268
869	15064	2251
870	15082	2233
871	15100	2216
872	15116	2199
873	15133	2181
874	15149	2164
875	15165	2146
876	15182	2129
877	15198	2111
878	15215	2094
879	15231	2077
880	15247	2059
881	15264	2042
882	15280	2024
883	15297	2007
884	15313	1989
885	15330	1972
886	15347	1955
887	15363	1937
888	15379	1920
889	15395	1902
890	15412	1885
891	15429	1868
892	15446	1850
893	15462	1833
894	15479	1816
895	15496	1798
896	15512	1781
897	15528	1763
898	15545	1746
899	15562	1729
900	15578	1711
901	15594	1694
902	15610	1676
903	15626	1659
904	15643	1642
905	15660	1624
906	15676	1607
907	15692	1590
908	15709	1572
909	15726	1555
910	15744	1538
911	15760	1520
912	15777	1503
913	15794	1486
914	15811	1468
915	15828	1451
916	15845	1434
917	15861	1416
918	15877	1399
919	15893	1382
920	15910	1364
921	15926	1347
922	15943	1330
923	15959	1312
924	15976	1295
925	15992	1278
926	16009	1260
927	16025	1243
928	16042	1226
929	16058	1208
930	16074	1191
931	16091	1174
932	16108	1156
933	16123	1139
934	16141	1122
935	16157	1104
936	16173	1087
937	16189	1070
938	16205	1052
939	16222	1035
940	16239	1018
941	16256	1000
942	16273	983
943	16289	966
944	16306	949
945	16323	931
946	16340	914
947	16356	897
948	16372	879
949	16389	862
950	16406	845
951	16422	828
952	16438	810
953	16455	793
954	16474	776
955	16491	759
956	16507	741
957	16522	724
958	16539	707
959	16555	689
960	16572	672
961	16588	655
962	16604	637
963	16621	620
964	16637	603
965	16653	586
966	16670	568
967	16686	551
968	16702	534
969	16718	517
970	16735	499
971	16751	482
972	16768	465
973	16785	448
974	16802	430
975	16820	413
976	16838	396
977	16856	379
978	16876	362
979	16893	344
980	16909	327
981	16926	310
982	16943	293
983	16959	275
984	16976	258
985	16995	241
986	17012	224
987	17029	206
988	17046	189
989	17062	172
990	17079	155
991	17097	137
992	17114	120
993	17131	103
994	17147	86
995	17164	68
996	17180	51
997	17198	34
998	17216	17
999	17232	0
