iter	MAPE
0	0.08357900246
1	0.08306607685
2	0.08257474878
3	0.08207406463
4	0.08159840395
5	0.08114703878
6	0.08067774639
7	0.08022455971
8	0.07973576264
9	0.07927633837
10	0.07882587544
11	0.07837956427
12	0.07793857256
13	0.07746898342
14	0.07700259199
15	0.07653657513
16	0.07608007329
17	0.07563402337
18	0.07521141608
19	0.07477336425
20	0.07433755289
21	0.07390848697
22	0.07348875587
23	0.07308964915
24	0.07269335229
25	0.07228744457
26	0.0718835085
27	0.07152274919
28	0.07114290619
29	0.07075686254
30	0.07039008851
31	0.07000376852
32	0.06962644181
33	0.06925680668
34	0.06891102264
35	0.06856061655
36	0.06819650851
37	0.06785156779
38	0.06749650412
39	0.06714247732
40	0.06680981401
41	0.06646558083
42	0.06613995311
43	0.06582134931
44	0.06548837095
45	0.06518804796
46	0.06489688598
47	0.06459663548
48	0.06430431158
49	0.064015455
50	0.0637263245
51	0.0634559046
52	0.0631823392
53	0.0628987999
54	0.06263147409
55	0.06235899867
56	0.06209627666
57	0.06182454302
58	0.06154818602
59	0.06125865661
60	0.06099978409
61	0.06072934841
62	0.06047821628
63	0.06021165111
64	0.05994786308
65	0.05970458797
66	0.05946449394
67	0.05922766911
68	0.05899337961
69	0.05876724855
70	0.05852481682
71	0.05829120224
72	0.05806859999
73	0.05785162321
74	0.05764086941
75	0.0574315932
76	0.05722603721
77	0.05700022326
78	0.05679214735
79	0.05657347339
80	0.05637375078
81	0.05618204308
82	0.05599352442
83	0.05579109731
84	0.05558601909
85	0.05539542511
86	0.05521854595
87	0.05503750391
88	0.05484071514
89	0.05464242166
90	0.05447196063
91	0.05428002087
92	0.0541192751
93	0.05394526259
94	0.05377492581
95	0.05358826748
96	0.05339985865
97	0.05322069125
98	0.05306367544
99	0.05291091279
100	0.05273200731
101	0.05257141352
102	0.05242524821
103	0.05227103764
104	0.05211937801
105	0.05196635948
106	0.05182586262
107	0.0516774046
108	0.05152343241
109	0.05139138043
110	0.05123840739
111	0.05109269565
112	0.05093940416
113	0.05080111543
114	0.0506758329
115	0.05053689761
116	0.05040015368
117	0.05026946636
118	0.05013116313
119	0.05000149732
120	0.04986658717
121	0.04975182768
122	0.04963047689
123	0.04952057835
124	0.04939399288
125	0.04927257598
126	0.04915136702
127	0.04902051117
128	0.04892116929
129	0.0487969849
130	0.04868427736
131	0.0485676532
132	0.04844706865
133	0.04833246286
134	0.04822352141
135	0.04811343802
136	0.04800545916
137	0.04790515687
138	0.04781264508
139	0.04770970018
140	0.04760742701
141	0.04751106587
142	0.0474163172
143	0.04732626044
144	0.04722966367
145	0.0471285511
146	0.04703699078
147	0.04693847982
148	0.04684146883
149	0.04674902414
150	0.04666300177
151	0.04657813818
152	0.046485681
153	0.04640206256
154	0.04631935578
155	0.04622826736
156	0.04614834415
157	0.04605819692
158	0.04597674164
159	0.04588820045
160	0.04580183003
161	0.04571597045
162	0.04563908109
163	0.04555999031
164	0.04547737843
165	0.04540047015
166	0.04532308302
167	0.04523671829
168	0.04516670018
169	0.04509015032
170	0.04502405812
171	0.04494835597
172	0.0448693482
173	0.04479744547
174	0.04472043787
175	0.04465233638
176	0.04458178164
177	0.04451220723
178	0.04444002691
179	0.04436936493
180	0.04430502135
181	0.04423865378
182	0.04417137209
183	0.0441097357
184	0.04404672474
185	0.04398620782
186	0.04392110856
187	0.04386100858
188	0.04379391135
189	0.04373316423
190	0.04367871865
191	0.04361314671
192	0.04355383814
193	0.04349784531
194	0.04344648352
195	0.04339059578
196	0.04333507668
